generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
78,uci_wine_test/78/20251012-214039,nan,nan,0.9438202247191011,0.2696629213483146,0.8551685393258427,0.9348314606741575,78_74,78_94,0.9382022619247437,0.28651684522628784,0.858764053285122,0.9382022619247437,78_74,67_85
79,uci_wine_test/79/20251012-214041,nan,nan,0.9382022471910112,0.2696629213483146,0.8640449438202248,0.9314606741573035,79_58,67_85,0.9382022619247437,0.28651684522628784,0.8679775375127793,0.9382022619247437,79_58,67_85
80,uci_wine_test/80/20251012-214043,nan,nan,0.9382022471910112,0.2696629213483146,0.8803932584269666,0.9314606741573034,80_62,67_85,0.9382022619247437,0.28651684522628784,0.8856741654872894,0.9382022619247437,80_62,67_85
81,uci_wine_test/81/20251012-214045,nan,nan,0.9382022471910112,0.2696629213483146,0.8710674157303372,0.9342696629213483,81_74,67_85,0.9438202381134033,0.28651684522628784,0.8760112470388413,0.9387640595436096,81_74,81_20
82,uci_wine_test/82/20251012-214047,nan,nan,0.9438202247191011,0.2696629213483146,0.8541573033707864,0.9308988764044944,82_20,82_68,0.9438202381134033,0.28651684522628784,0.8602247262001037,0.9387640595436096,82_20,81_20
83,uci_wine_test/83/20251012-214049,nan,nan,0.9382022471910112,0.2696629213483146,0.8369101123595506,0.9337078651685393,83_62,82_18,0.9438202381134033,0.28651684522628784,0.8442696702480316,0.9393258571624756,83_62,81_20
84,uci_wine_test/84/20251012-214050,nan,nan,0.9438202247191011,0.2696629213483146,0.8430337078651688,0.9365168539325841,84_32,84_44,0.9438202381134033,0.28651684522628784,0.8513483238220215,0.9410112500190735,84_32,81_20
85,uci_wine_test/85/20251012-214053,nan,nan,0.9438202247191011,0.2696629213483146,0.7907865168539324,0.9382022471910112,85_17,84_76,0.9438202381134033,0.28651684522628784,0.7992696642875672,0.9438202381134033,85_17,81_20
86,uci_wine_test/86/20251012-214054,nan,nan,0.9438202247191011,0.2696629213483146,0.8085393258426966,0.9337078651685393,86_11,84_50,0.9438202381134033,0.28651684522628784,0.815617983341217,0.9438202381134033,86_11,81_20
87,uci_wine_test/87/20251012-214056,nan,nan,0.949438202247191,0.2696629213483146,0.802752808988764,0.937640449438202,87_21,87_93,0.949438214302063,0.28651684522628784,0.8087640491127968,0.9443820357322693,87_21,87_93
88,uci_wine_test/88/20251012-214058,nan,nan,0.949438202247191,0.2696629213483146,0.8069662921348315,0.9421348314606741,88_24,87_93,0.949438214302063,0.28651684522628784,0.8114606791734695,0.9455056309700012,88_24,87_93
89,uci_wine_test/89/20251012-214100,nan,nan,0.949438202247191,0.2696629213483146,0.8415168539325844,0.943258426966292,89_29,87_93,0.949438214302063,0.28651684522628784,0.8471348369121552,0.9466292262077332,89_29,87_93
90,uci_wine_test/90/20251012-214102,nan,nan,0.949438202247191,0.2696629213483146,0.8593258426966293,0.9471910112359548,90_55,87_93,0.949438214302063,0.28651684522628784,0.8629775363206863,0.949438214302063,90_55,87_93
91,uci_wine_test/91/20251012-214104,nan,nan,0.949438202247191,0.2696629213483146,0.8524719101123597,0.9460674157303369,91_80,87_93,0.949438214302063,0.28651684522628784,0.8543258503079414,0.949438214302063,91_80,87_93
92,uci_wine_test/92/20251012-214106,nan,nan,0.949438202247191,0.2696629213483146,0.7938764044943819,0.9460674157303369,92_15,87_93,0.949438214302063,0.28651684522628784,0.7972471976280212,0.949438214302063,92_15,87_93
93,uci_wine_test/93/20251012-214107,nan,nan,0.949438202247191,0.2696629213483146,0.8107865168539325,0.9415730337078652,93_61,87_93,0.949438214302063,0.28651684522628784,0.8144943898916245,0.949438214302063,93_61,87_93
94,uci_wine_test/94/20251012-214109,nan,nan,0.949438202247191,0.2696629213483146,0.8539887640449437,0.9404494382022472,94_79,87_93,0.949438214302063,0.28651684522628784,0.8589887702465058,0.949438214302063,94_79,87_93
95,uci_wine_test/95/20251012-214111,nan,nan,0.949438202247191,0.2696629213483146,0.8152808988764044,0.9404494382022472,95_19,87_93,0.949438214302063,0.28651684522628784,0.821404499411583,0.949438214302063,95_19,87_93
96,uci_wine_test/96/20251012-214113,nan,nan,0.949438202247191,0.2696629213483146,0.8459550561797751,0.9460674157303369,96_45,87_93,0.949438214302063,0.28651684522628784,0.8521348392963409,0.949438214302063,96_45,87_93
97,uci_wine_test/97/20251012-214115,nan,nan,0.949438202247191,0.2696629213483146,0.8040449438202247,0.948314606741573,97_11,87_93,0.949438214302063,0.28651684522628784,0.8113483202457428,0.949438214302063,97_11,87_93
98,uci_wine_test/98/20251012-214117,nan,nan,0.949438202247191,0.2696629213483146,0.84561797752809,0.945505617977528,98_18,87_93,0.9550561904907227,0.28651684522628784,0.8503932681679726,0.950000011920929,98_18,98_51
99,uci_wine_test/99/20251012-214119,nan,nan,0.949438202247191,0.2696629213483146,0.8296067415730337,0.943258426966292,99_11,87_93,0.9550561904907227,0.28651684522628784,0.8362921422719956,0.9522472023963928,99_11,98_51
100,uci_wine_test/100/20251012-214121,nan,nan,0.949438202247191,0.2696629213483146,0.8214606741573033,0.9438202247191011,100_31,99_23,0.9550561904907227,0.28651684522628784,0.828820229768753,0.9528090000152588,100_31,98_51
